name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Substandard_Housing,Affordability,Household_Income,Bedrooms
"Manassas city, Virginia",55.0,55.0,75.0,05000US51683,51,683,D,Standard,Greater than VHUD100,30.1-50% AMI,3 or more
"Manassas city, Virginia",100.0,98.0,76.0,05000US51683,51,683,S,Standard,Greater than VHUD100,50.1-80% AMI,All
"Manassas city, Virginia",0.0,161.0,77.0,05000US51683,51,683,D,Standard,Greater than VHUD100,50.1-80% AMI,0 or 1
"Manassas city, Virginia",20.0,40.0,78.0,05000US51683,51,683,D,Standard,Greater than VHUD100,50.1-80% AMI,2
"Manassas city, Virginia",75.0,88.0,79.0,05000US51683,51,683,D,Standard,Greater than VHUD100,50.1-80% AMI,3 or more
"Manassas city, Virginia",100.0,88.0,80.0,05000US51683,51,683,S,Standard,Greater than VHUD100,80.1-95% AMI,All
"Manassas city, Virginia",0.0,161.0,81.0,05000US51683,51,683,D,Standard,Greater than VHUD100,80.1-95% AMI,0 or 1
"Manassas city, Virginia",40.0,64.0,82.0,05000US51683,51,683,D,Standard,Greater than VHUD100,80.1-95% AMI,2
"Manassas city, Virginia",65.0,61.0,83.0,05000US51683,51,683,D,Standard,Greater than VHUD100,80.1-95% AMI,3 or more
"Manassas city, Virginia",265.0,117.0,84.0,05000US51683,51,683,S,Standard,Greater than VHUD100,95.1% AMI and above,All
"Manassas city, Virginia",0.0,161.0,85.0,05000US51683,51,683,D,Standard,Greater than VHUD100,95.1% AMI and above,0 or 1
"Manassas city, Virginia",0.0,161.0,86.0,05000US51683,51,683,D,Standard,Greater than VHUD100,95.1% AMI and above,2
"Manassas city, Virginia",265.0,117.0,87.0,05000US51683,51,683,D,Standard,Greater than VHUD100,95.1% AMI and above,3 or more
