name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Household_Income,Cost_Burden,Substandard
"Richmond city, Virginia",0.0,161.0,103.0,05000US51760,51,760,D,Renter,50.1-80% AMI,Severe cost burden,substandard
"Richmond city, Virginia",165.0,131.0,104.0,05000US51760,51,760,D,Renter,50.1-80% AMI,Severe cost burden,standard
"Richmond city, Virginia",0.0,161.0,105.0,05000US51760,51,760,S,Renter,50.1-80% AMI,N/A,All
"Richmond city, Virginia",0.0,161.0,106.0,05000US51760,51,760,D,Renter,50.1-80% AMI,N/A,substandard
"Richmond city, Virginia",0.0,161.0,107.0,05000US51760,51,760,D,Renter,50.1-80% AMI,N/A,standard
"Richmond city, Virginia",3395.0,521.0,108.0,05000US51760,51,760,S,Renter,80.1-95% AMI,All,All
"Richmond city, Virginia",3005.0,574.0,109.0,05000US51760,51,760,S,Renter,80.1-95% AMI,No cost burden,All
"Richmond city, Virginia",0.0,161.0,110.0,05000US51760,51,760,D,Renter,80.1-95% AMI,No cost burden,substandard
"Richmond city, Virginia",3005.0,574.0,111.0,05000US51760,51,760,D,Renter,80.1-95% AMI,No cost burden,standard
"Richmond city, Virginia",390.0,204.0,112.0,05000US51760,51,760,S,Renter,80.1-95% AMI,Moderate cost burden,All
"Richmond city, Virginia",0.0,161.0,113.0,05000US51760,51,760,D,Renter,80.1-95% AMI,Moderate cost burden,substandard
"Richmond city, Virginia",390.0,204.0,114.0,05000US51760,51,760,D,Renter,80.1-95% AMI,Moderate cost burden,standard
"Richmond city, Virginia",0.0,161.0,115.0,05000US51760,51,760,S,Renter,80.1-95% AMI,Severe cost burden,All
"Richmond city, Virginia",0.0,161.0,116.0,05000US51760,51,760,D,Renter,80.1-95% AMI,Severe cost burden,substandard
"Richmond city, Virginia",0.0,161.0,117.0,05000US51760,51,760,D,Renter,80.1-95% AMI,Severe cost burden,standard
"Richmond city, Virginia",0.0,161.0,118.0,05000US51760,51,760,S,Renter,80.1-95% AMI,N/A,All
"Richmond city, Virginia",0.0,161.0,119.0,05000US51760,51,760,D,Renter,80.1-95% AMI,N/A,substandard
"Richmond city, Virginia",0.0,161.0,120.0,05000US51760,51,760,D,Renter,80.1-95% AMI,N/A,standard
"Richmond city, Virginia",6780.0,801.0,121.0,05000US51760,51,760,S,Renter,95.1% AMI and above,All,All
"Richmond city, Virginia",6490.0,788.0,122.0,05000US51760,51,760,S,Renter,95.1% AMI and above,No cost burden,All
"Richmond city, Virginia",70.0,83.0,123.0,05000US51760,51,760,D,Renter,95.1% AMI and above,No cost burden,substandard
"Richmond city, Virginia",6415.0,779.0,124.0,05000US51760,51,760,D,Renter,95.1% AMI and above,No cost burden,standard
"Richmond city, Virginia",240.0,139.0,125.0,05000US51760,51,760,S,Renter,95.1% AMI and above,Moderate cost burden,All
"Richmond city, Virginia",0.0,161.0,126.0,05000US51760,51,760,D,Renter,95.1% AMI and above,Moderate cost burden,substandard
"Richmond city, Virginia",240.0,139.0,127.0,05000US51760,51,760,D,Renter,95.1% AMI and above,Moderate cost burden,standard
"Richmond city, Virginia",50.0,64.0,128.0,05000US51760,51,760,S,Renter,95.1% AMI and above,Severe cost burden,All
"Richmond city, Virginia",25.0,48.0,129.0,05000US51760,51,760,D,Renter,95.1% AMI and above,Severe cost burden,substandard
"Richmond city, Virginia",25.0,40.0,130.0,05000US51760,51,760,D,Renter,95.1% AMI and above,Severe cost burden,standard
"Richmond city, Virginia",0.0,161.0,131.0,05000US51760,51,760,S,Renter,95.1% AMI and above,N/A,All
"Richmond city, Virginia",0.0,161.0,132.0,05000US51760,51,760,D,Renter,95.1% AMI and above,N/A,substandard
"Richmond city, Virginia",0.0,161.0,133.0,05000US51760,51,760,D,Renter,95.1% AMI and above,N/A,standard
