name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Overcrowding,Household_Income,Family_Structure
"Suffolk city, Virginia",2610.0,421.0,68.0,05000US51800,51,800,S,Renter,No overcrowding,30% AMI or less,All
"Suffolk city, Virginia",1530.0,377.0,69.0,05000US51800,51,800,D,Renter,No overcrowding,30% AMI or less,1 family household
"Suffolk city, Virginia",40.0,66.0,70.0,05000US51800,51,800,D,Renter,No overcrowding,30% AMI or less,2+ families in household
"Suffolk city, Virginia",1040.0,299.0,71.0,05000US51800,51,800,D,Renter,No overcrowding,30% AMI or less,Non-family household
"Suffolk city, Virginia",1105.0,290.0,72.0,05000US51800,51,800,S,Renter,No overcrowding,30.1-50% AMI,All
"Suffolk city, Virginia",670.0,241.0,73.0,05000US51800,51,800,D,Renter,No overcrowding,30.1-50% AMI,1 family household
"Suffolk city, Virginia",140.0,153.0,74.0,05000US51800,51,800,D,Renter,No overcrowding,30.1-50% AMI,2+ families in household
"Suffolk city, Virginia",295.0,135.0,75.0,05000US51800,51,800,D,Renter,No overcrowding,30.1-50% AMI,Non-family household
"Suffolk city, Virginia",2035.0,506.0,76.0,05000US51800,51,800,S,Renter,No overcrowding,50.1-80% AMI,All
"Suffolk city, Virginia",1420.0,468.0,77.0,05000US51800,51,800,D,Renter,No overcrowding,50.1-80% AMI,1 family household
"Suffolk city, Virginia",15.0,25.0,78.0,05000US51800,51,800,D,Renter,No overcrowding,50.1-80% AMI,2+ families in household
"Suffolk city, Virginia",600.0,299.0,79.0,05000US51800,51,800,D,Renter,No overcrowding,50.1-80% AMI,Non-family household
"Suffolk city, Virginia",470.0,207.0,80.0,05000US51800,51,800,S,Renter,No overcrowding,80.1-95% AMI,All
"Suffolk city, Virginia",295.0,173.0,81.0,05000US51800,51,800,D,Renter,No overcrowding,80.1-95% AMI,1 family household
"Suffolk city, Virginia",0.0,161.0,82.0,05000US51800,51,800,D,Renter,No overcrowding,80.1-95% AMI,2+ families in household
"Suffolk city, Virginia",175.0,115.0,83.0,05000US51800,51,800,D,Renter,No overcrowding,80.1-95% AMI,Non-family household
"Suffolk city, Virginia",2100.0,498.0,84.0,05000US51800,51,800,S,Renter,No overcrowding,95.1% AMI and above,All
"Suffolk city, Virginia",1540.0,446.0,85.0,05000US51800,51,800,D,Renter,No overcrowding,95.1% AMI and above,1 family household
"Suffolk city, Virginia",55.0,65.0,86.0,05000US51800,51,800,D,Renter,No overcrowding,95.1% AMI and above,2+ families in household
"Suffolk city, Virginia",510.0,199.0,87.0,05000US51800,51,800,D,Renter,No overcrowding,95.1% AMI and above,Non-family household
"Suffolk city, Virginia",250.0,134.0,88.0,05000US51800,51,800,S,Renter,Moderate overcrowding,All,All
"Suffolk city, Virginia",110.0,102.0,89.0,05000US51800,51,800,S,Renter,Moderate overcrowding,30% AMI or less,All
"Suffolk city, Virginia",110.0,102.0,90.0,05000US51800,51,800,D,Renter,Moderate overcrowding,30% AMI or less,1 family household
"Suffolk city, Virginia",0.0,161.0,91.0,05000US51800,51,800,D,Renter,Moderate overcrowding,30% AMI or less,2+ families in household
"Suffolk city, Virginia",0.0,161.0,92.0,05000US51800,51,800,D,Renter,Moderate overcrowding,30% AMI or less,Non-family household
"Suffolk city, Virginia",40.0,61.0,93.0,05000US51800,51,800,S,Renter,Moderate overcrowding,30.1-50% AMI,All
"Suffolk city, Virginia",40.0,61.0,94.0,05000US51800,51,800,D,Renter,Moderate overcrowding,30.1-50% AMI,1 family household
