"name","estimate","margin_of_error","order","geoid","st","cnty","Line_Type","Substandard_Housing","Affordability","Bedrooms"
"Buchanan County, Virginia","155.0","110.0","1.0","05000US51027","51","027","T","All","All","All"
"Buchanan County, Virginia","0.0","161.0","2.0","05000US51027","51","027","S","Substandard","All","All"
"Buchanan County, Virginia","155.0","110.0","3.0","05000US51027","51","027","S","Standard","All","All"
"Buchanan County, Virginia","75.0","74.0","4.0","05000US51027","51","027","S","Standard","RHUD30","All"
"Buchanan County, Virginia","40.0","55.0","5.0","05000US51027","51","027","D","Standard","RHUD30","0 or 1"
"Buchanan County, Virginia","30.0","50.0","6.0","05000US51027","51","027","D","Standard","RHUD30","2"
"Buchanan County, Virginia","0.0","161.0","7.0","05000US51027","51","027","D","Standard","RHUD30","3 or more"
"Buchanan County, Virginia","80.0","84.0","8.0","05000US51027","51","027","S","Standard","RHUD50","All"
"Buchanan County, Virginia","35.0","57.0","9.0","05000US51027","51","027","D","Standard","RHUD50","0 or 1"
"Buchanan County, Virginia","45.0","63.0","10.0","05000US51027","51","027","D","Standard","RHUD50","2"
"Buchanan County, Virginia","0.0","161.0","11.0","05000US51027","51","027","D","Standard","RHUD50","3 or more"
"Buchanan County, Virginia","0.0","161.0","12.0","05000US51027","51","027","S","Standard","RHUD80","All"
"Buchanan County, Virginia","0.0","161.0","13.0","05000US51027","51","027","D","Standard","RHUD80","0 or 1"
"Buchanan County, Virginia","0.0","161.0","14.0","05000US51027","51","027","D","Standard","RHUD80","2"
"Buchanan County, Virginia","0.0","161.0","15.0","05000US51027","51","027","D","Standard","RHUD80","3 or more"
"Buchanan County, Virginia","0.0","161.0","16.0","05000US51027","51","027","S","Standard","Greater than RHUD80","All"
"Buchanan County, Virginia","0.0","161.0","17.0","05000US51027","51","027","D","Standard","Greater than RHUD80","0 or 1"
"Buchanan County, Virginia","0.0","161.0","18.0","05000US51027","51","027","D","Standard","Greater than RHUD80","2"
"Buchanan County, Virginia","0.0","161.0","19.0","05000US51027","51","027","D","Standard","Greater than RHUD80","3 or more"
"Campbell County, Virginia","285.0","170.0","1.0","05000US51031","51","031","T","All","All","All"
"Campbell County, Virginia","0.0","161.0","2.0","05000US51031","51","031","S","Substandard","All","All"
"Campbell County, Virginia","285.0","170.0","3.0","05000US51031","51","031","S","Standard","All","All"
"Campbell County, Virginia","20.0","36.0","4.0","05000US51031","51","031","S","Standard","RHUD30","All"
"Campbell County, Virginia","0.0","161.0","5.0","05000US51031","51","031","D","Standard","RHUD30","0 or 1"
"Campbell County, Virginia","0.0","161.0","6.0","05000US51031","51","031","D","Standard","RHUD30","2"
"Campbell County, Virginia","20.0","36.0","7.0","05000US51031","51","031","D","Standard","RHUD30","3 or more"
"Campbell County, Virginia","260.0","166.0","8.0","05000US51031","51","031","S","Standard","RHUD50","All"
"Campbell County, Virginia","50.0","64.0","9.0","05000US51031","51","031","D","Standard","RHUD50","0 or 1"
"Campbell County, Virginia","110.0","110.0","10.0","05000US51031","51","031","D","Standard","RHUD50","2"
"Campbell County, Virginia","100.0","109.0","11.0","05000US51031","51","031","D","Standard","RHUD50","3 or more"
"Campbell County, Virginia","0.0","161.0","12.0","05000US51031","51","031","S","Standard","RHUD80","All"
"Campbell County, Virginia","0.0","161.0","13.0","05000US51031","51","031","D","Standard","RHUD80","0 or 1"
"Campbell County, Virginia","0.0","161.0","14.0","05000US51031","51","031","D","Standard","RHUD80","2"
"Campbell County, Virginia","0.0","161.0","15.0","05000US51031","51","031","D","Standard","RHUD80","3 or more"
"Campbell County, Virginia","0.0","161.0","16.0","05000US51031","51","031","S","Standard","Greater than RHUD80","All"
"Campbell County, Virginia","0.0","161.0","17.0","05000US51031","51","031","D","Standard","Greater than RHUD80","0 or 1"
"Campbell County, Virginia","0.0","161.0","18.0","05000US51031","51","031","D","Standard","Greater than RHUD80","2"
"Campbell County, Virginia","0.0","161.0","19.0","05000US51031","51","031","D","Standard","Greater than RHUD80","3 or more"
"Caroline County, Virginia","255.0","188.0","1.0","05000US51033","51","033","T","All","All","All"
"Caroline County, Virginia","0.0","161.0","2.0","05000US51033","51","033","S","Substandard","All","All"
"Caroline County, Virginia","255.0","188.0","3.0","05000US51033","51","033","S","Standard","All","All"
"Caroline County, Virginia","45.0","63.0","4.0","05000US51033","51","033","S","Standard","RHUD30","All"
"Caroline County, Virginia","0.0","161.0","5.0","05000US51033","51","033","D","Standard","RHUD30","0 or 1"
"Caroline County, Virginia","0.0","161.0","6.0","05000US51033","51","033","D","Standard","RHUD30","2"
"Caroline County, Virginia","45.0","63.0","7.0","05000US51033","51","033","D","Standard","RHUD30","3 or more"
"Caroline County, Virginia","80.0","89.0","8.0","05000US51033","51","033","S","Standard","RHUD50","All"
"Caroline County, Virginia","35.0","55.0","9.0","05000US51033","51","033","D","Standard","RHUD50","0 or 1"
"Caroline County, Virginia","0.0","161.0","10.0","05000US51033","51","033","D","Standard","RHUD50","2"
"Caroline County, Virginia","50.0","75.0","11.0","05000US51033","51","033","D","Standard","RHUD50","3 or more"
"Caroline County, Virginia","55.0","90.0","12.0","05000US51033","51","033","S","Standard","RHUD80","All"
"Caroline County, Virginia","0.0","161.0","13.0","05000US51033","51","033","D","Standard","RHUD80","0 or 1"
"Caroline County, Virginia","0.0","161.0","14.0","05000US51033","51","033","D","Standard","RHUD80","2"
"Caroline County, Virginia","55.0","90.0","15.0","05000US51033","51","033","D","Standard","RHUD80","3 or more"
"Caroline County, Virginia","75.0","116.0","16.0","05000US51033","51","033","S","Standard","Greater than RHUD80","All"
"Caroline County, Virginia","0.0","161.0","17.0","05000US51033","51","033","D","Standard","Greater than RHUD80","0 or 1"
"Caroline County, Virginia","75.0","116.0","18.0","05000US51033","51","033","D","Standard","Greater than RHUD80","2"
"Caroline County, Virginia","0.0","161.0","19.0","05000US51033","51","033","D","Standard","Greater than RHUD80","3 or more"
"Carroll County, Virginia","125.0","132.0","1.0","05000US51035","51","035","T","All","All","All"
"Carroll County, Virginia","0.0","161.0","2.0","05000US51035","51","035","S","Substandard","All","All"
"Carroll County, Virginia","125.0","132.0","3.0","05000US51035","51","035","S","Standard","All","All"
"Carroll County, Virginia","55.0","68.0","4.0","05000US51035","51","035","S","Standard","RHUD30","All"
"Carroll County, Virginia","0.0","161.0","5.0","05000US51035","51","035","D","Standard","RHUD30","0 or 1"
"Carroll County, Virginia","55.0","68.0","6.0","05000US51035","51","035","D","Standard","RHUD30","2"
"Carroll County, Virginia","0.0","161.0","7.0","05000US51035","51","035","D","Standard","RHUD30","3 or more"
"Carroll County, Virginia","75.0","115.0","8.0","05000US51035","51","035","S","Standard","RHUD50","All"
"Carroll County, Virginia","0.0","161.0","9.0","05000US51035","51","035","D","Standard","RHUD50","0 or 1"
"Carroll County, Virginia","75.0","115.0","10.0","05000US51035","51","035","D","Standard","RHUD50","2"
"Carroll County, Virginia","0.0","161.0","11.0","05000US51035","51","035","D","Standard","RHUD50","3 or more"
"Carroll County, Virginia","0.0","161.0","12.0","05000US51035","51","035","S","Standard","RHUD80","All"
"Carroll County, Virginia","0.0","161.0","13.0","05000US51035","51","035","D","Standard","RHUD80","0 or 1"
"Carroll County, Virginia","0.0","161.0","14.0","05000US51035","51","035","D","Standard","RHUD80","2"
"Carroll County, Virginia","0.0","161.0","15.0","05000US51035","51","035","D","Standard","RHUD80","3 or more"
"Carroll County, Virginia","0.0","161.0","16.0","05000US51035","51","035","S","Standard","Greater than RHUD80","All"
"Carroll County, Virginia","0.0","161.0","17.0","05000US51035","51","035","D","Standard","Greater than RHUD80","0 or 1"
"Carroll County, Virginia","0.0","161.0","18.0","05000US51035","51","035","D","Standard","Greater than RHUD80","2"
"Carroll County, Virginia","0.0","161.0","19.0","05000US51035","51","035","D","Standard","Greater than RHUD80","3 or more"
"Chesterfield County, Virginia","1615.0","668.0","1.0","05000US51041","51","041","T","All","All","All"
"Chesterfield County, Virginia","180.0","292.0","2.0","05000US51041","51","041","S","Substandard","All","All"
"Chesterfield County, Virginia","1435.0","605.0","3.0","05000US51041","51","041","S","Standard","All","All"
"Chesterfield County, Virginia","50.0","81.0","4.0","05000US51041","51","041","S","Standard","RHUD30","All"
"Chesterfield County, Virginia","0.0","161.0","5.0","05000US51041","51","041","D","Standard","RHUD30","0 or 1"
"Chesterfield County, Virginia","50.0","81.0","6.0","05000US51041","51","041","D","Standard","RHUD30","2"
"Chesterfield County, Virginia","0.0","161.0","7.0","05000US51041","51","041","D","Standard","RHUD30","3 or more"
"Chesterfield County, Virginia","645.0","395.0","8.0","05000US51041","51","041","S","Standard","RHUD50","All"
"Chesterfield County, Virginia","110.0","129.0","9.0","05000US51041","51","041","D","Standard","RHUD50","0 or 1"
"Chesterfield County, Virginia","495.0","386.0","10.0","05000US51041","51","041","D","Standard","RHUD50","2"
"Chesterfield County, Virginia","40.0","68.0","11.0","05000US51041","51","041","D","Standard","RHUD50","3 or more"
"Chesterfield County, Virginia","695.0","473.0","12.0","05000US51041","51","041","S","Standard","RHUD80","All"
"Chesterfield County, Virginia","0.0","161.0","13.0","05000US51041","51","041","D","Standard","RHUD80","0 or 1"
"Chesterfield County, Virginia","695.0","473.0","14.0","05000US51041","51","041","D","Standard","RHUD80","2"
"Chesterfield County, Virginia","0.0","161.0","15.0","05000US51041","51","041","D","Standard","RHUD80","3 or more"
"Chesterfield County, Virginia","45.0","71.0","16.0","05000US51041","51","041","S","Standard","Greater than RHUD80","All"
